Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,Soil_Type,Crop_Type,Fertilizer
27.2,54,40,19,71,33,Sandy,Pulses,DAP
30.7,56,32,7,12,70,Sandy,Millets,MOP
20.4,51,25,10,55,13,Sandy,Pulses,SSP
21.6,56,48,43,65,53,Red,Maize,NPK 10-26-26
26.9,47,39,14,43,10,Sandy,Rice,SSP
36.8,42,35,4,11,68,Black,Cotton,MOP
23.0,37,27,4,55,17,Loamy,Sugarcane,SSP
31.5,59,36,11,10,72,Black,Ground Nuts,MOP
25.4,52,35,22,15,35,Sandy,Millets,Ammonium Sulphate
31.3,61,43,10,81,29,Black,Maize,DAP
29.5,69,52,13,57,24,Clayey,Wheat,DAP
30.2,51,45,98,12,17,Clayey,Cotton,Urea
33.8,53,38,3,51,11,Red,Sugarcane,SSP
32.2,69,54,62,33,45,Clayey,Oil Seeds,NPK 20-20-20
28.7,54,38,92,25,19,Clayey,Wheat,Urea
22.8,30,33,83,11,7,Clayey,Millets,Urea
22.8,32,32,8,44,22,Red,Ground Nuts,SSP
23.2,61,38,12,83,22,Black,Rice,DAP
27.2,54,34,29,21,27,Sandy,Millets,Ammonium Sulphate
36.1,66,55,70,52,53,Sandy,Cotton,NPK 20-20-20
22.9,25,41,8,6,66,Clayey,Millets,MOP
35.4,60,47,51,57,44,Red,Cotton,NPK 10-26-26
28.1,35,25,85,9,15,Clayey,Ground Nuts,Urea
31.9,48,36,6,16,80,Sandy,Maize,MOP
32.7,31,38,12,9,85,Loamy,Wheat,MOP
30.7,40,35,5,14,73,Loamy,Cotton,MOP
24.2,46,30,0,43,22,Red,Ground Nuts,SSP
25.3,44,43,72,8,5,Loamy,Wheat,Urea
33.5,69,64,55,42,47,Sandy,Tobacco,NPK 20-20-20
28.7,48,38,24,22,33,Red,Wheat,Ammonium Sulphate
30.2,53,40,1,65,25,Sandy,Maize,DAP
27.5,46,38,19,5,30,Red,Cotton,Ammonium Sulphate
23.0,42,33,92,18,20,Clayey,Maize,Urea
28.1,59,57,45,53,60,Loamy,Wheat,NPK 10-26-26
30.1,34,34,9,11,72,Loamy,Maize,MOP
29.2,67,58,56,46,38,Loamy,Tobacco,NPK 20-20-20
22.8,30,42,8,13,66,Loamy,Cotton,MOP
32.7,46,33,11,14,70,Red,Rice,MOP
27.7,43,27,18,7,90,Black,Pulses,MOP
27.7,50,35,39,36,37,Red,Millets,Ammonium Sulphate
34.2,44,26,7,71,11,Black,Ground Nuts,SSP
33.1,52,25,13,51,14,Loamy,Tobacco,SSP
26.7,41,31,5,71,11,Sandy,Oil Seeds,SSP
30.7,53,45,30,27,20,Loamy,Millets,Ammonium Sulphate
27.9,57,30,81,0,21,Red,Cotton,Urea
34.2,43,36,18,15,79,Black,Rice,MOP
27.7,40,45,9,21,76,Loamy,Rice,MOP
26.5,39,47,24,20,22,Red,Tobacco,Ammonium Sulphate
20.6,43,34,11,54,12,Sandy,Pulses,SSP
21.4,42,36,8,50,20,Red,Pulses,SSP
28.3,48,24,21,62,19,Loamy,Pulses,SSP
32.6,39,26,88,21,17,Clayey,Cotton,Urea
27.2,60,51,54,57,62,Red,Wheat,NPK 10-26-26
25.0,60,42,52,39,58,Sandy,Cotton,NPK 10-26-26
27.4,43,34,12,54,3,Black,Pulses,SSP
38.2,64,47,50,40,37,Loamy,Maize,NPK 20-20-20
27.0,72,47,16,77,14,Clayey,Maize,DAP
26.1,53,49,11,86,12,Red,Rice,DAP
20.1,47,31,0,52,15,Red,Pulses,SSP
24.6,47,47,19,27,17,Red,Wheat,Ammonium Sulphate
23.3,50,38,30,87,24,Black,Pulses,DAP
28.8,58,45,55,45,53,Red,Wheat,NPK 10-26-26
31.1,68,50,61,44,36,Loamy,Maize,NPK 20-20-20
25.5,45,28,3,9,69,Red,Oil Seeds,MOP
23.4,65,51,81,13,7,Clayey,Wheat,Urea
29.0,61,40,32,11,33,Sandy,Wheat,Ammonium Sulphate
28.3,40,39,4,21,66,Red,Maize,MOP
26.4,40,38,15,48,10,Loamy,Pulses,SSP
25.2,52,40,88,0,14,Clayey,Wheat,Urea
28.1,56,47,15,64,25,Black,Millets,DAP
30.1,41,46,5,9,68,Black,Maize,MOP
20.1,41,36,0,52,13,Loamy,Pulses,SSP
35.9,43,31,9,18,69,Loamy,Maize,MOP
28.3,37,37,14,59,9,Sandy,Pulses,SSP
30.3,77,62,53,40,41,Loamy,Millets,NPK 20-20-20
28.8,48,32,4,17,95,Black,Pulses,MOP
28.2,56,46,46,60,44,Loamy,Ground Nuts,NPK 10-26-26
26.9,40,37,8,19,79,Red,Rice,MOP
30.7,41,32,5,10,66,Black,Maize,MOP
26.0,56,43,29,11,32,Sandy,Millets,Ammonium Sulphate
27.3,58,52,91,12,14,Black,Cotton,Urea
34.6,55,64,48,44,39,Loamy,Sugarcane,NPK 20-20-20
28.3,31,31,8,9,80,Black,Maize,MOP
29.1,51,43,69,4,10,Clayey,Sugarcane,Urea
28.5,65,55,52,40,47,Red,Cotton,NPK 20-20-20
22.6,34,38,12,65,15,Red,Pulses,SSP
28.6,50,36,23,35,12,Black,Wheat,Ammonium Sulphate
29.2,59,33,87,17,9,Clayey,Cotton,Urea
29.5,66,50,52,48,48,Loamy,Cotton,NPK 20-20-20
25.8,51,56,9,78,34,Black,Maize,DAP
25.9,52,46,15,25,32,Sandy,Millets,Ammonium Sulphate
31.0,56,34,84,12,11,Red,Cotton,Urea
29.7,44,37,2,59,13,Red,Oil Seeds,SSP
31.7,75,44,52,41,37,Clayey,Pulses,NPK 20-20-20
23.8,48,25,85,7,9,Black,Pulses,Urea
22.2,49,26,0,69,3,Clayey,Tobacco,SSP
24.3,62,56,38,48,44,Red,Tobacco,NPK 20-20-20
26.0,54,44,43,62,50,Sandy,Rice,NPK 10-26-26
26.1,48,47,92,20,5,Sandy,Sugarcane,Urea
31.7,48,36,79,16,11,Clayey,Maize,Urea
22.7,63,46,50,53,60,Loamy,Tobacco,NPK 10-26-26
33.6,77,52,67,42,47,Red,Tobacco,NPK 20-20-20
39.3,76,55,47,41,32,Red,Tobacco,NPK 20-20-20
27.1,40,38,5,15,72,Red,Wheat,MOP
27.4,41,34,11,57,5,Clayey,Ground Nuts,SSP
33.3,48,45,52,54,46,Red,Maize,NPK 10-26-26
33.3,53,60,57,51,33,Red,Cotton,NPK 20-20-20
25.5,56,46,49,42,55,Black,Sugarcane,NPK 10-26-26
35.4,49,43,86,17,20,Loamy,Maize,Urea
26.6,53,49,48,46,44,Red,Tobacco,NPK 10-26-26
27.3,48,40,53,47,60,Red,Wheat,NPK 10-26-26
26.8,60,50,76,18,22,Clayey,Maize,Urea
26.1,46,30,7,8,80,Black,Rice,MOP
24.5,34,41,4,46,10,Sandy,Oil Seeds,SSP
29.9,63,30,84,23,3,Black,Wheat,Urea
30.5,54,50,14,65,23,Clayey,Wheat,DAP
35.5,37,49,81,6,7,Clayey,Rice,Urea
23.8,44,42,25,35,24,Clayey,Tobacco,Ammonium Sulphate
27.3,56,33,16,31,22,Sandy,Wheat,Ammonium Sulphate
26.5,42,35,0,52,10,Red,Pulses,SSP
33.1,66,53,14,74,20,Black,Wheat,DAP
25.3,48,43,80,13,1,Loamy,Oil Seeds,Urea
26.7,46,39,26,16,34,Loamy,Tobacco,Ammonium Sulphate
23.2,76,43,56,56,43,Loamy,Sugarcane,NPK 20-20-20
30.5,77,45,44,35,33,Loamy,Millets,NPK 20-20-20
30.1,61,35,85,5,0,Sandy,Maize,Urea
27.9,48,37,87,17,10,Sandy,Sugarcane,Urea
21.9,39,53,9,74,15,Sandy,Wheat,DAP
23.2,54,43,18,26,41,Loamy,Wheat,Ammonium Sulphate
27.6,61,45,43,46,49,Loamy,Rice,NPK 10-26-26
27.4,67,49,61,42,35,Sandy,Cotton,NPK 20-20-20
34.8,40,27,6,47,16,Black,Sugarcane,SSP
26.6,50,44,10,22,74,Red,Maize,MOP
23.8,60,45,48,51,50,Loamy,Rice,NPK 10-26-26
24.8,49,35,11,10,74,Black,Cotton,MOP
24.5,50,48,39,44,47,Sandy,Cotton,NPK 10-26-26
28.1,29,41,6,57,13,Loamy,Ground Nuts,SSP
29.9,57,50,87,11,30,Black,Cotton,Urea
30.8,38,42,11,53,22,Loamy,Ground Nuts,SSP
32.1,66,40,23,85,28,Black,Rice,DAP
29.6,51,49,82,11,0,Clayey,Cotton,Urea
29.7,49,39,12,53,3,Sandy,Oil Seeds,SSP
24.5,56,57,21,80,18,Clayey,Maize,DAP
38.0,51,33,7,21,81,Loamy,Cotton,MOP
26.9,52,42,12,10,66,Clayey,Tobacco,MOP
30.5,39,44,1,54,14,Loamy,Pulses,SSP
21.6,53,37,43,56,67,Loamy,Maize,NPK 10-26-26
28.3,42,33,81,23,26,Black,Sugarcane,Urea
31.8,41,48,13,10,64,Red,Cotton,MOP
28.5,51,48,79,11,11,Clayey,Rice,Urea
34.0,53,24,5,20,66,Loamy,Wheat,MOP
31.8,54,44,47,53,58,Red,Rice,NPK 10-26-26
38.7,49,37,19,20,10,Sandy,Wheat,Ammonium Sulphate
31.1,52,35,84,10,7,Red,Wheat,Urea
28.8,50,42,5,7,76,Red,Maize,MOP
27.8,46,36,21,25,26,Loamy,Cotton,Ammonium Sulphate
23.7,44,51,66,30,19,Red,Cotton,Urea
26.7,44,33,0,44,11,Loamy,Ground Nuts,SSP
28.4,50,38,72,13,17,Black,Tobacco,Urea
24.8,48,39,15,44,11,Red,Ground Nuts,SSP
32.4,49,37,88,3,6,Sandy,Sugarcane,Urea
27.9,38,34,8,7,62,Red,Cotton,MOP
26.5,50,37,5,54,11,Red,Pulses,SSP
25.2,42,32,8,56,13,Red,Pulses,SSP
21.5,44,35,32,23,32,Loamy,Cotton,Ammonium Sulphate
29.2,55,51,50,55,62,Red,Cotton,NPK 10-26-26
29.3,37,35,25,58,13,Loamy,Rice,SSP
25.4,61,52,50,43,51,Red,Cotton,NPK 20-20-20
33.8,53,56,65,49,35,Loamy,Sugarcane,NPK 20-20-20
30.6,38,30,22,63,22,Loamy,Pulses,SSP
33.8,67,45,17,78,27,Loamy,Rice,DAP
26.7,43,26,12,43,23,Red,Pulses,SSP
31.3,66,68,56,47,32,Black,Oil Seeds,NPK 20-20-20
21.8,46,24,13,50,14,Loamy,Pulses,SSP
24.9,53,42,84,12,23,Red,Rice,Urea
20.4,47,44,26,25,24,Sandy,Wheat,Ammonium Sulphate
31.5,58,35,7,2,69,Loamy,Wheat,MOP
27.0,39,27,7,44,12,Loamy,Cotton,SSP
22.3,49,42,2,45,5,Red,Oil Seeds,SSP
27.7,43,50,11,3,69,Red,Cotton,MOP
25.1,55,50,50,57,53,Sandy,Wheat,NPK 10-26-26
30.3,43,37,85,22,0,Loamy,Sugarcane,Urea
34.2,42,34,90,30,4,Black,Rice,Urea
35.7,67,52,68,46,33,Loamy,Tobacco,NPK 20-20-20
23.3,62,42,61,39,47,Red,Millets,NPK 20-20-20
27.5,60,41,62,58,55,Red,Rice,NPK 10-26-26
29.2,47,44,38,53,50,Loamy,Rice,NPK 10-26-26
31.5,40,37,87,14,14,Black,Rice,Urea
30.5,75,57,22,78,32,Red,Maize,DAP
35.1,75,58,61,42,41,Clayey,Oil Seeds,NPK 20-20-20
21.8,55,38,11,18,29,Loamy,Tobacco,Ammonium Sulphate
21.3,37,39,0,57,3,Sandy,Pulses,SSP
27.6,47,29,8,0,56,Loamy,Rice,MOP
27.1,62,29,85,40,4,Clayey,Ground Nuts,Urea
29.4,45,43,54,44,55,Red,Tobacco,NPK 10-26-26
21.5,53,49,85,22,8,Clayey,Sugarcane,Urea
38.2,68,41,16,85,13,Red,Pulses,DAP
31.3,68,52,49,38,42,Loamy,Cotton,NPK 20-20-20
31.6,45,24,8,4,79,Black,Cotton,MOP
37.7,44,31,0,6,72,Loamy,Rice,MOP
27.5,58,37,56,55,33,Sandy,Cotton,NPK 10-26-26
31.8,47,21,0,56,10,Red,Ground Nuts,SSP
25.2,55,48,79,37,14,Black,Sugarcane,Urea
33.6,45,44,23,11,19,Black,Millets,Ammonium Sulphate
28.6,65,59,56,33,35,Red,Cotton,NPK 20-20-20
35.3,56,50,46,50,51,Red,Maize,NPK 10-26-26
26.1,42,34,13,47,15,Sandy,Rice,SSP
30.9,49,31,1,15,76,Black,Wheat,MOP
25.5,54,45,25,34,21,Loamy,Cotton,Ammonium Sulphate
26.6,55,46,37,54,56,Sandy,Rice,NPK 10-26-26
30.5,44,33,9,13,66,Loamy,Sugarcane,MOP
30.8,44,41,53,58,53,Sandy,Maize,NPK 10-26-26
27.7,51,35,20,56,13,Loamy,Pulses,SSP
23.5,61,33,17,27,28,Sandy,Maize,Ammonium Sulphate
32.0,57,42,28,77,17,Red,Pulses,DAP
22.2,62,44,91,17,18,Loamy,Oil Seeds,Urea
25.7,44,43,41,54,54,Loamy,Maize,NPK 10-26-26
30.6,37,31,11,54,15,Black,Oil Seeds,SSP
31.8,63,47,44,69,50,Sandy,Cotton,NPK 10-26-26
35.5,44,32,14,9,78,Red,Cotton,MOP
32.8,68,45,16,72,34,Red,Maize,DAP
31.2,43,32,14,14,76,Loamy,Cotton,MOP
29.2,45,39,22,22,27,Loamy,Millets,Ammonium Sulphate
24.1,51,40,28,24,28,Sandy,Wheat,Ammonium Sulphate
22.8,49,35,12,44,4,Loamy,Oil Seeds,SSP
23.7,49,43,86,27,10,Black,Wheat,Urea
28.5,66,50,54,41,38,Loamy,Cotton,NPK 20-20-20
26.0,30,37,3,54,12,Sandy,Oil Seeds,SSP
24.1,48,49,13,69,9,Red,Rice,DAP
21.4,49,39,7,55,14,Red,Pulses,SSP
26.6,61,43,48,55,55,Red,Wheat,NPK 10-26-26
23.3,39,35,15,46,18,Loamy,Millets,SSP
25.9,55,41,90,24,17,Loamy,Cotton,Urea
23.8,41,44,27,13,18,Sandy,Cotton,Ammonium Sulphate
30.9,47,48,18,13,33,Loamy,Wheat,Ammonium Sulphate
25.2,44,48,21,22,22,Loamy,Tobacco,Ammonium Sulphate
28.9,73,63,47,49,42,Loamy,Tobacco,NPK 20-20-20
26.4,34,43,0,19,83,Red,Rice,MOP
26.0,58,43,28,84,15,Black,Maize,DAP
27.1,57,38,31,77,11,Clayey,Sugarcane,DAP
20.9,50,49,61,54,63,Loamy,Wheat,NPK 10-26-26
26.2,61,37,38,62,47,Clayey,Tobacco,NPK 10-26-26
27.0,47,42,21,74,17,Red,Oil Seeds,SSP
25.7,40,36,10,54,12,Red,Pulses,SSP
21.5,61,63,11,61,18,Black,Rice,DAP
21.8,39,21,1,48,14,Loamy,Oil Seeds,SSP
35.1,66,62,61,42,33,Red,Cotton,NPK 20-20-20
25.4,52,28,12,50,20,Red,Ground Nuts,SSP
31.9,60,43,68,43,38,Red,Maize,NPK 20-20-20
34.4,57,57,12,59,8,Black,Cotton,DAP
29.6,52,43,11,46,3,Black,Ground Nuts,SSP
34.4,61,67,49,34,35,Loamy,Tobacco,NPK 20-20-20
26.7,63,42,89,26,12,Clayey,Sugarcane,Urea
29.6,58,61,57,43,45,Loamy,Tobacco,NPK 20-20-20
27.9,38,24,11,17,65,Loamy,Rice,MOP
29.0,46,42,74,10,19,Clayey,Maize,Urea
40.5,68,43,38,63,60,Loamy,Rice,NPK 10-26-26
22.1,39,29,13,65,20,Loamy,Pulses,SSP
38.1,58,62,55,43,34,Loamy,Maize,NPK 20-20-20
27.7,43,38,67,8,18,Sandy,Rice,Urea
27.9,56,45,50,49,60,Loamy,Maize,NPK 10-26-26
26.0,52,47,26,28,13,Loamy,Wheat,Ammonium Sulphate
20.4,47,32,12,47,5,Sandy,Pulses,SSP
27.7,49,54,22,22,28,Sandy,Maize,Ammonium Sulphate
32.5,73,60,54,39,36,Sandy,Cotton,NPK 20-20-20
33.4,45,22,81,15,17,Clayey,Millets,Urea
25.8,64,60,56,48,38,Sandy,Maize,NPK 20-20-20
29.6,51,39,32,50,46,Sandy,Pulses,NPK 10-26-26
28.1,75,57,56,38,33,Sandy,Sugarcane,NPK 20-20-20
22.5,39,41,18,51,10,Loamy,Ground Nuts,SSP
37.0,68,51,67,46,38,Sandy,Maize,NPK 20-20-20
25.5,45,42,19,60,10,Clayey,Ground Nuts,SSP
33.9,37,27,13,7,70,Black,Millets,MOP
27.9,64,55,62,51,36,Sandy,Maize,NPK 20-20-20
24.8,29,34,5,51,5,Clayey,Pulses,SSP
34.6,60,44,49,24,51,Loamy,Sugarcane,NPK 20-20-20
39.2,66,56,41,38,41,Loamy,Cotton,NPK 20-20-20
28.3,33,34,9,25,61,Red,Pulses,MOP
25.2,60,26,14,53,24,Sandy,Ground Nuts,SSP
25.2,50,37,25,43,17,Clayey,Pulses,SSP
23.3,59,58,51,52,57,Loamy,Maize,NPK 10-26-26
23.2,56,67,22,64,24,Black,Pulses,DAP
27.8,49,39,6,22,79,Loamy,Maize,MOP
27.0,61,48,25,66,14,Loamy,Maize,DAP
30.2,53,55,13,76,29,Red,Rice,DAP
17.1,30,31,9,50,14,Loamy,Rice,SSP
31.6,57,40,64,55,59,Sandy,Maize,NPK 10-26-26
21.6,36,29,9,8,64,Black,Wheat,MOP
24.6,47,36,12,43,9,Black,Ground Nuts,SSP
34.0,74,62,56,44,47,Red,Sugarcane,NPK 20-20-20
30.9,69,43,58,54,39,Red,Maize,NPK 10-26-26
33.8,51,46,42,55,61,Loamy,Maize,NPK 10-26-26
23.0,51,34,16,57,9,Loamy,Sugarcane,SSP
25.2,61,47,53,53,58,Loamy,Oil Seeds,NPK 10-26-26
27.8,33,29,2,50,20,Red,Pulses,SSP
22.5,52,35,18,56,13,Loamy,Pulses,SSP
26.7,56,45,22,77,15,Loamy,Pulses,DAP
31.7,65,37,52,55,47,Red,Cotton,NPK 10-26-26
21.2,33,35,14,59,14,Sandy,Pulses,SSP
30.6,69,49,53,48,44,Red,Cotton,NPK 20-20-20
24.9,57,51,68,41,42,Sandy,Maize,NPK 20-20-20
26.7,42,31,8,46,13,Red,Maize,SSP
33.9,33,44,6,10,74,Black,Ground Nuts,MOP
31.8,44,43,77,8,9,Black,Cotton,Urea
30.3,64,44,13,71,23,Black,Pulses,DAP
24.2,49,35,20,33,22,Red,Rice,Ammonium Sulphate
26.9,51,47,51,60,52,Clayey,Wheat,NPK 10-26-26
32.7,50,40,56,45,51,Loamy,Wheat,NPK 10-26-26
30.9,37,32,6,16,71,Red,Maize,MOP
33.3,55,43,25,19,24,Sandy,Millets,Ammonium Sulphate
33.9,69,50,13,75,34,Loamy,Rice,DAP
34.2,42,33,9,25,75,Sandy,Wheat,MOP
25.3,68,54,49,53,56,Red,Wheat,NPK 10-26-26
31.2,57,43,48,63,62,Loamy,Cotton,NPK 10-26-26
26.5,43,43,3,57,14,Loamy,Oil Seeds,SSP
33.7,51,41,52,48,58,Sandy,Cotton,NPK 10-26-26
25.8,61,35,2,41,21,Red,Ground Nuts,SSP
24.8,38,32,9,60,14,Loamy,Tobacco,SSP
25.4,50,27,31,25,33,Loamy,Tobacco,Ammonium Sulphate
31.2,50,51,49,52,50,Sandy,Rice,NPK 10-26-26
26.4,85,52,15,71,18,Red,Maize,DAP
35.1,74,54,14,66,10,Loamy,Rice,DAP
26.7,44,33,15,58,14,Loamy,Pulses,SSP
22.5,54,37,0,13,77,Red,Pulses,MOP
32.7,37,33,83,1,18,Black,Maize,Urea
24.8,43,40,3,15,55,Black,Maize,MOP
23.6,32,24,15,45,1,Loamy,Ground Nuts,SSP
23.6,46,43,10,58,6,Red,Oil Seeds,SSP
27.1,45,37,5,13,75,Clayey,Ground Nuts,MOP
32.2,45,34,86,22,0,Clayey,Maize,Urea
26.0,64,50,18,77,22,Loamy,Maize,DAP
36.6,58,62,59,50,47,Sandy,Cotton,NPK 20-20-20
30.9,60,62,56,45,47,Black,Maize,NPK 20-20-20
25.7,60,40,33,71,23,Red,Pulses,DAP
28.5,50,33,7,21,68,Loamy,Cotton,MOP
29.5,47,35,99,22,17,Clayey,Cotton,Urea
22.7,65,56,54,53,44,Clayey,Maize,NPK 20-20-20
28.1,45,49,29,24,33,Red,Millets,Ammonium Sulphate
26.0,48,35,2,22,65,Black,Pulses,MOP
29.2,59,54,57,51,60,Sandy,Wheat,NPK 10-26-26
26.9,42,33,11,7,70,Red,Rice,MOP
24.4,73,52,48,54,35,Sandy,Maize,NPK 20-20-20
22.6,49,29,11,44,24,Sandy,Ground Nuts,SSP
31.4,68,43,21,72,19,Black,Rice,DAP
28.2,51,43,4,6,75,Sandy,Rice,MOP
25.5,62,42,44,54,65,Red,Rice,NPK 10-26-26
26.7,69,52,57,48,28,Loamy,Oil Seeds,NPK 20-20-20
33.4,65,56,59,41,38,Red,Sugarcane,NPK 20-20-20
24.5,61,54,28,65,22,Loamy,Sugarcane,DAP
28.4,58,37,7,87,21,Red,Maize,DAP
21.1,40,25,74,14,9,Black,Ground Nuts,Urea
33.2,61,58,16,77,25,Red,Wheat,DAP
27.8,72,49,50,37,36,Loamy,Oil Seeds,NPK 20-20-20
25.4,44,36,31,39,29,Red,Wheat,Ammonium Sulphate
22.7,52,35,28,18,38,Sandy,Ground Nuts,Ammonium Sulphate
28.9,56,44,36,47,54,Sandy,Pulses,NPK 10-26-26
29.5,48,36,76,7,17,Black,Sugarcane,Urea
24.1,55,48,51,51,61,Loamy,Cotton,NPK 10-26-26
21.6,39,31,6,52,24,Red,Cotton,SSP
34.2,41,43,10,9,70,Loamy,Wheat,MOP
25.3,51,45,81,8,25,Loamy,Maize,Urea
24.6,47,43,12,47,8,Red,Oil Seeds,SSP
32.6,50,48,59,62,55,Sandy,Cotton,NPK 10-26-26
32.4,36,37,13,6,67,Red,Rice,MOP
15.9,42,41,7,42,19,Loamy,Oil Seeds,SSP
31.2,54,45,26,30,21,Loamy,Tobacco,Ammonium Sulphate
35.8,59,48,24,22,30,Loamy,Millets,Ammonium Sulphate
23.9,57,36,96,19,0,Black,Wheat,Urea
24.2,61,43,51,48,62,Red,Millets,NPK 10-26-26
26.1,55,47,14,27,32,Red,Rice,Ammonium Sulphate
24.5,45,35,10,58,12,Red,Ground Nuts,SSP
29.1,67,59,65,43,39,Loamy,Maize,NPK 20-20-20
30.9,56,47,15,75,10,Loamy,Pulses,DAP
34.7,44,24,11,13,75,Loamy,Rice,MOP
29.4,30,38,3,49,10,Clayey,Maize,SSP
26.1,50,47,24,14,30,Red,Millets,Ammonium Sulphate
23.2,32,30,6,56,11,Sandy,Pulses,SSP
24.9,40,34,11,49,3,Red,Ground Nuts,SSP
31.7,66,43,80,15,8,Black,Oil Seeds,Urea
27.0,57,37,25,26,30,Sandy,Millets,Ammonium Sulphate
31.2,47,41,38,30,29,Loamy,Rice,Ammonium Sulphate
37.1,42,39,10,21,78,Loamy,Cotton,MOP
36.7,63,49,49,51,49,Loamy,Rice,NPK 10-26-26
28.1,47,33,91,16,14,Clayey,Rice,Urea
30.3,41,41,5,4,90,Sandy,Oil Seeds,MOP
34.5,53,38,2,52,15,Loamy,Pulses,SSP
24.7,55,48,42,51,44,Loamy,Cotton,NPK 10-26-26
34.5,66,51,55,43,32,Sandy,Wheat,NPK 20-20-20
30.6,69,53,6,76,8,Black,Rice,DAP
28.2,62,40,87,2,21,Loamy,Sugarcane,Urea
31.7,74,55,48,50,38,Red,Wheat,NPK 20-20-20
33.5,63,41,44,57,58,Red,Maize,NPK 10-26-26
30.6,57,52,62,51,41,Sandy,Maize,NPK 20-20-20
31.6,48,32,36,15,30,Red,Sugarcane,Ammonium Sulphate
29.1,54,48,25,73,22,Loamy,Cotton,DAP
26.5,43,53,82,21,9,Black,Cotton,Urea
30.7,67,50,56,59,42,Red,Cotton,NPK 10-26-26
32.1,55,39,50,34,42,Red,Maize,NPK 20-20-20
25.1,51,47,59,61,64,Red,Wheat,NPK 10-26-26
21.2,54,44,85,18,8,Loamy,Cotton,Urea
28.0,44,35,19,16,63,Sandy,Wheat,MOP
20.5,43,42,104,10,14,Red,Maize,Urea
25.7,50,48,36,31,27,Red,Maize,Ammonium Sulphate
33.0,51,39,7,19,76,Loamy,Cotton,MOP
25.5,37,37,4,46,4,Sandy,Ground Nuts,SSP
27.4,67,54,12,62,18,Black,Wheat,DAP
26.3,51,32,86,16,11,Loamy,Maize,Urea
28.3,46,41,11,12,84,Loamy,Cotton,MOP
28.4,37,34,11,62,22,Sandy,Pulses,SSP
30.4,50,43,80,23,21,Clayey,Wheat,Urea
28.3,46,46,95,17,0,Black,Maize,Urea
29.2,67,48,51,41,37,Sandy,Wheat,NPK 20-20-20
33.5,48,29,27,26,24,Loamy,Tobacco,Ammonium Sulphate
22.4,58,41,75,0,17,Loamy,Wheat,Urea
26.2,54,32,16,53,11,Black,Ground Nuts,SSP
